tradingpair,longshort,risk ,result,pips,secured,position,
GBPJPY,Short,1%,Profit,135,1.75%,Sell Limit,
AUDUSD,Long,1%,BE,0,0.00%,Buy ,
XAUUSD,Long,1%,Profit,70,0.90%,Buy,
GBPUSD,Long,1%,Profit,30,1.50%,Buy,
GBPUSD,Long,1%,Loss,-25,-0.50%,Buy,
XAUUSD,Long,1%,Loss,-50,-1.00%,Buy Limit,
XAUUSD,Long,1%,BE,0,0.00%,Buy,
GBPJPY,Short,1%,BE,0,0.00%,Sell Limit,
GER30,Long,1%,Profit,20,0.45%,Buy,
AUDUSD,Long,1%,Loss,-3,0.08%,Buy Limit,
GBPUSD,Long,1%,Loss,-30,-0.50%,Buy,
GER30,Short,1%,Profit,12,0.50%,Sell,
